
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. my_mss, 29, 7, 0, 0, 0, 0, 0, 3, 88
.	. CoreResetP, 29, 7, 0, 0, 0, 0, 0, 1, 0
.	. my_mss_FCCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. my_mss_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. my_mss_OSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
